C,max_iter,accuracy,precision,recall,f1
0.1,20,0.6845493562231759,0.6696969696969697,0.5443349753694581,0.6005434782608696
0.1,20,0.6727467811158798,0.6461988304093568,0.5456790123456791,0.5917001338688086
0.1,20,0.6684549356223176,0.6509433962264151,0.5111111111111111,0.5726141078838174
0.1,20,0.684887459807074,0.6696969696969697,0.5443349753694581,0.6005434782608696
0.1,20,0.6730975348338692,0.6446991404011462,0.5541871921182266,0.5960264900662252
0.1,20,0.6609442060085837,0.6380368098159509,0.5123152709359606,0.5683060109289617
0.1,20,0.6555793991416309,0.6296296296296297,0.5037037037037037,0.5596707818930041
0.1,20,0.6802575107296137,0.6465753424657534,0.582716049382716,0.612987012987013
0.1,20,0.6752411575562701,0.6594427244582043,0.5246305418719212,0.5843621399176955
0.1,20,0.6827438370846731,0.6571428571428571,0.5665024630541872,0.6084656084656084
0.1,20,0.6856223175965666,0.677115987460815,0.5320197044334976,0.5958620689655172
0.1,20,0.6566523605150214,0.6217765042979942,0.5358024691358024,0.5755968169761272
0.1,20,0.6663090128755365,0.6335227272727273,0.5506172839506173,0.5891677675033025
0.1,20,0.6784565916398714,0.6709677419354839,0.5123152709359606,0.5810055865921787
0.1,20,0.6602357984994641,0.6312684365781711,0.5270935960591133,0.574496644295302
0.1,20,0.6609442060085837,0.6331360946745562,0.5270935960591133,0.5752688172043011
0.1,20,0.6620171673819742,0.6271186440677966,0.5481481481481482,0.5849802371541503
0.1,20,0.6984978540772532,0.6845238095238095,0.5679012345679012,0.6207827260458839
0.1,20,0.6730975348338692,0.6480938416422287,0.5443349753694581,0.5917001338688085
0.1,20,0.6827438370846731,0.6608187134502924,0.5566502463054187,0.6042780748663101
0.1,20,0.6952789699570815,0.6859756097560976,0.5541871921182266,0.6130790190735695
0.1,20,0.6598712446351931,0.6333333333333333,0.5160493827160494,0.5687074829931973
0.1,20,0.648068669527897,0.6122448979591837,0.5185185185185185,0.5614973262032086
0.1,20,0.6838156484458735,0.668693009118541,0.541871921182266,0.5986394557823129
0.1,20,0.6677384780278671,0.6311475409836066,0.5689655172413793,0.5984455958549223
0.1,20,0.6695278969957081,0.653125,0.5147783251231527,0.5757575757575757
0.1,20,0.6791845493562232,0.6480446927374302,0.5728395061728395,0.6081258191349934
0.1,20,0.6716738197424893,0.6551724137931034,0.5160493827160494,0.5773480662983425
0.1,20,0.6752411575562701,0.6458923512747875,0.5615763546798029,0.6007905138339922
0.1,20,0.6730975348338692,0.6480938416422287,0.5443349753694581,0.5917001338688085
0.1,20,0.6791845493562232,0.6578171091445427,0.5492610837438424,0.5986577181208054
0.1,20,0.6759656652360515,0.6565349544072948,0.5333333333333333,0.5885558583106267
0.1,20,0.6555793991416309,0.6288343558282209,0.5061728395061729,0.560875512995896
0.1,20,0.6795284030010718,0.6646153846153846,0.5320197044334976,0.5909712722298222
0.1,20,0.6763129689174705,0.6485714285714286,0.5591133004926109,0.6005291005291006
0.1,20,0.6598712446351931,0.636085626911315,0.5123152709359606,0.5675306957708048
0.1,20,0.6684549356223176,0.6420118343195266,0.5358024691358024,0.5841184387617765
0.1,20,0.6813304721030042,0.6551724137931034,0.562962962962963,0.6055776892430278
0.1,20,0.707395498392283,0.6883852691218131,0.5985221674876847,0.6403162055335969
0.1,20,0.6516613076098606,0.6201780415430267,0.5147783251231527,0.5625841184387617
