learning_rate,depth,rsm,subsample,min_data_in_leaf,accuracy,precision,recall,f1
0.08,5,0.9,0.6,140,0.6913183279742765,0.6638888888888889,0.5886699507389163,0.6240208877284595
0.08,5,0.9,0.6,140,0.6956055734190782,0.6773255813953488,0.5738916256157636,0.6213333333333334
0.08,5,0.9,0.6,140,0.6856223175965666,0.677115987460815,0.5320197044334976,0.5958620689655172
0.08,5,0.9,0.6,140,0.6759656652360515,0.6655948553054662,0.5111111111111111,0.5782122905027933
0.08,5,0.9,0.6,140,0.6899141630901288,0.6559139784946236,0.6024691358024692,0.6280566280566281
0.08,5,0.9,0.6,140,0.6730975348338692,0.6391184573002755,0.5714285714285714,0.6033810143042913
0.08,5,0.9,0.6,140,0.6891747052518756,0.6620111731843575,0.583743842364532,0.6204188481675392
0.08,5,0.9,0.6,140,0.6952789699570815,0.6648648648648648,0.6059113300492611,0.6340206185567011
0.08,5,0.9,0.6,140,0.6856223175965666,0.6772151898734177,0.528395061728395,0.5936199722607489
0.08,5,0.9,0.6,140,0.694206008583691,0.6685393258426966,0.5876543209876544,0.6254927726675428
0.08,5,0.9,0.6,140,0.6741693461950696,0.650887573964497,0.541871921182266,0.5913978494623656
0.08,5,0.9,0.6,140,0.7020364415862809,0.684971098265896,0.583743842364532,0.6303191489361704
0.08,5,0.9,0.6,140,0.6899141630901288,0.6715542521994134,0.5640394088669951,0.6131191432396252
0.08,5,0.9,0.6,140,0.6866952789699571,0.6531165311653117,0.5950617283950618,0.6227390180878554
0.08,5,0.9,0.6,140,0.694206008583691,0.6807228915662651,0.5580246913580247,0.6132971506105834
0.08,5,0.9,0.6,140,0.6827438370846731,0.6478494623655914,0.5935960591133005,0.6195372750642674
0.08,5,0.9,0.6,140,0.6988210075026795,0.6684636118598383,0.6108374384236454,0.6383526383526383
0.08,5,0.9,0.6,140,0.694206008583691,0.6694677871148459,0.5886699507389163,0.6264744429882044
0.08,5,0.9,0.6,140,0.7006437768240343,0.6831395348837209,0.5802469135802469,0.6275033377837116
0.08,5,0.9,0.6,140,0.6974248927038627,0.664,0.6148148148148148,0.6384615384615385
0.08,5,0.9,0.6,140,0.6891747052518756,0.6602209944751382,0.5886699507389163,0.6223958333333333
0.08,5,0.9,0.6,140,0.6763129689174705,0.6485714285714286,0.5591133004926109,0.6005291005291006
0.08,5,0.9,0.6,140,0.6856223175965666,0.6656891495601173,0.5591133004926109,0.607764390896921
0.08,5,0.9,0.6,140,0.7081545064377682,0.7046153846153846,0.5654320987654321,0.6273972602739727
0.08,5,0.9,0.6,140,0.7027896995708155,0.6720430107526881,0.6172839506172839,0.6435006435006435
0.08,5,0.9,0.6,140,0.692390139335477,0.6755162241887905,0.5640394088669951,0.6147651006711409
0.08,5,0.9,0.6,140,0.6945337620578779,0.6630727762803235,0.6059113300492611,0.6332046332046332
0.08,5,0.9,0.6,140,0.677038626609442,0.6586102719033232,0.5369458128078818,0.5915875169606513
0.08,5,0.9,0.6,140,0.6630901287553648,0.6303724928366762,0.5432098765432098,0.583554376657825
0.08,5,0.9,0.6,140,0.6931330472103004,0.6666666666666666,0.5876543209876544,0.6246719160104988
0.08,5,0.9,0.6,140,0.692390139335477,0.6561679790026247,0.6157635467980296,0.6353240152477764
0.08,5,0.9,0.6,140,0.6838156484458735,0.6666666666666666,0.5467980295566502,0.6008119079837618
0.08,5,0.9,0.6,140,0.6909871244635193,0.6586021505376344,0.603448275862069,0.6298200514138816
0.08,5,0.9,0.6,140,0.6899141630901288,0.6715976331360947,0.5604938271604938,0.6110363391655451
0.08,5,0.9,0.6,140,0.694206008583691,0.6764705882352942,0.5679012345679012,0.6174496644295301
0.08,5,0.9,0.6,140,0.6838156484458735,0.6581196581196581,0.5689655172413793,0.6103038309114928
0.08,5,0.9,0.6,140,0.7041800643086816,0.6911764705882353,0.5788177339901478,0.6300268096514745
0.08,5,0.9,0.6,140,0.6920600858369099,0.662125340599455,0.5985221674876847,0.628719275549806
0.08,5,0.9,0.6,140,0.6813304721030042,0.6542857142857142,0.5654320987654321,0.6066225165562914
0.08,5,0.9,0.6,140,0.6952789699570815,0.6694677871148459,0.5901234567901235,0.6272965879265091
0.08,5,0.9,0.6,140,0.692390139335477,0.6657381615598886,0.5886699507389163,0.6248366013071895
0.08,5,0.9,0.6,140,0.7084673097534834,0.7018072289156626,0.5738916256157636,0.6314363143631435
0.08,5,0.9,0.6,140,0.6813304721030042,0.6493150684931507,0.583743842364532,0.6147859922178988
0.08,5,0.9,0.6,140,0.7070815450643777,0.6896551724137931,0.5925925925925926,0.6374501992031872
0.08,5,0.9,0.6,140,0.6791845493562232,0.6568047337278107,0.5481481481481482,0.5975773889636607
0.08,5,0.9,0.6,140,0.6795284030010718,0.649025069637883,0.5738916256157636,0.6091503267973856
0.08,5,0.9,0.6,140,0.6870310825294748,0.654891304347826,0.5935960591133005,0.6227390180878553
0.08,5,0.9,0.6,140,0.6909871244635193,0.664804469273743,0.5862068965517241,0.6230366492146597
0.08,5,0.9,0.6,140,0.6813304721030042,0.6636363636363637,0.5407407407407407,0.5959183673469388
0.08,5,0.9,0.6,140,0.7092274678111588,0.6970588235294117,0.5851851851851851,0.636241610738255
0.08,5,0.9,0.6,140,0.6881028938906752,0.6601671309192201,0.583743842364532,0.6196078431372549
